#airframe_info, log_version="1.00", airframe_name="Piper PA-46-350P", unit_software_part_number="006-B2014-21", unit_software_version="3.01", system_software_part_number="006-B2014-21", system_id="71D005C2500CD", tail_number="N41518", mode=NORMAL, flightstream_header="71D005C2500CD_0515", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,    G,    G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      lbs,      lbs,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F, deg F/min,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt,      ft, bool
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll, LatAc, NormAc,   HDG,   TRK, bus1volts, bus2volts, alt1amps, alt2amps,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 CHT CLD, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E2 TIT1,  E1 IAT,  E1 CDT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PitchC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas, AltPress, OnGrnd
          ,         ,        ,       ,             ,             ,        , 29.92,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.0,  24.0,  -1.1,  -1.5,  45.11,  43.41,    76.46,    74.59,     5.30,    -0.17,   49.63,    0.24,  29.29,    0.0,   51.62,   49.52,   50.07,   48.96,   49.61,   48.90,     ,   54.77,   51.32,   54.42,   50.84,   52.28,   49.86,   51.43,   53.08,   49.16,   51.07,        ,    , GPS1,  238.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,        ,  
          ,         ,        ,       ,             ,             ,        , 29.92,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.0,  24.0,  -1.1,  -1.5,  45.11,  43.41,    76.46,    74.59,     2.35,    -0.23,   49.65,    0.24,  29.28,    0.0,   51.62,   49.51,   50.08,   48.96,   49.60,   48.90,     ,   54.76,   51.31,   54.41,   50.83,   52.27,   49.86,   51.42,   53.07,   49.18,   51.06,        ,   0, GPS1,  238.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,        , 1
          ,         ,        ,       ,             ,             ,   391.0, 29.92,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.0,  24.0,  -1.1,  -1.5,  45.12,  43.41,    76.46,    74.59,     1.49,    -0.23,   49.65,    0.24,  29.29,    0.0,   51.62,   49.52,   50.07,   48.95,   49.60,   48.90,    0,   54.76,   51.30,   54.41,   50.83,   52.27,   49.86,   51.43,   53.08,   49.19,   51.06,        ,   0, GPS1,  238.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   391.0, 1
          ,         ,        ,       ,             ,             ,   391.0, 29.92,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.0,  24.0,  -1.1,  -1.5,  45.11,  43.41,    76.46,    74.59,     0.95,    -0.23,   49.66,    0.24,  29.28,    0.0,   51.63,   49.51,   50.07,   48.94,   49.59,   48.89,    0,   54.76,   51.31,   54.41,   50.83,   52.27,   49.85,   51.42,   53.07,   49.19,   51.06,        ,   0, GPS1,  238.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   391.0, 1
          ,         ,        ,       ,             ,             ,   390.0, 29.92,        ,  11.5,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.0,  24.0,  -1.1,  -1.5,  45.11,  43.41,    76.46,    74.59,     0.63,    -0.23,   49.66,    0.25,  29.29,    0.0,   51.63,   49.51,   50.07,   48.95,   49.60,   48.88,    0,   54.75,   51.31,   54.40,   50.83,   52.27,   49.85,   51.41,   53.07,   49.22,   51.05,        ,   0, GPS1,  238.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   390.0, 1
          ,         ,        ,       ,             ,             ,   389.0, 29.92,        ,  11.5,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.0,  24.0,  -1.1,  -1.5,  45.12,  43.40,    76.46,    74.58,     0.38,    -0.23,   49.67,    0.24,  29.29,    0.0,   51.63,   49.52,   50.07,   48.95,   49.59,   48.89,   -0,   54.76,   51.30,   54.40,   50.83,   52.27,   49.85,   51.42,   53.07,   49.21,   51.05,        ,   0, GPS1,  238.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   389.0, 1
          ,         ,        ,       ,             ,             ,   389.0, 29.92,        ,  11.5,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.0,  24.0,  -1.1,  -1.5,  45.12,  43.40,    76.47,    74.58,     0.24,    -0.23,   49.67,    0.24,  29.29,    0.0,   51.63,   49.50,   50.06,   48.95,   49.60,   48.88,   -0,   54.74,   51.30,   54.40,   50.83,   52.27,   49.85,   51.41,   53.06,   49.24,   51.05,        ,   0, GPS1,  238.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   389.0, 1
          ,         ,        ,       ,             ,             ,   388.0, 29.92,        ,  11.5,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.0,  24.0,  -1.1,  -1.5,  45.12,  43.39,    76.47,    74.57,     0.15,    -0.23,   49.68,    0.25,  29.28,    0.0,   51.62,   49.51,   50.06,   48.96,   49.59,   48.88,   -0,   54.74,   51.29,   54.39,   50.82,   52.26,   49.84,   51.42,   53.05,   49.27,   51.05,        ,   0, GPS1,  238.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   388.0, 1
          ,         ,        ,       ,             ,             ,   388.0, 29.92,        ,  11.5,   0.00,       ,  -48.00,       ,       ,     ,     ,      ,      ,  24.0,  24.0,  -1.1,  -1.5,  45.12,  43.38,    76.47,    74.57,     0.09,    -0.23,   49.68,    0.25,  29.28,    0.0,   51.62,   49.50,   50.06,   48.95,   49.60,   48.88,   -0,   54.74,   51.29,   54.39,   50.82,   52.27,   49.84,   51.40,   53.06,   49.28,   51.04,        ,   0, GPS1,  238.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   388.0, 1
          ,         ,        ,       ,             ,             ,   388.0, 29.92,        ,  11.5,   0.00,       ,  -42.86,       ,       ,     ,     ,      ,      ,  24.0,  24.0,  -1.1,  -1.5,  45.12,  43.39,    76.47,    74.58,     0.06,    -0.23,   49.68,    0.25,  29.29,    0.0,   51.61,   49.50,   50.06,   48.95,   49.60,   48.87,   -0,   54.74,   51.30,   54.38,   50.82,   52.27,   49.83,   51.40,   53.05,   49.28,   51.03,        ,   0, GPS1,  238.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   388.0, 1
