#airframe_info, log_version="1.00", airframe_name="Piper PA-46-350P", unit_software_part_number="006-B2014-21", unit_software_version="3.01", system_software_part_number="006-B2014-21", system_id="71D005C2500CD", tail_number="N41518", mode=NORMAL, flightstream_header="71D005C2500CD_0446", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,    G,    G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      lbs,      lbs,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F, deg F/min,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt,      ft, bool
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll, LatAc, NormAc,   HDG,   TRK, bus1volts, bus2volts, alt1amps, alt2amps,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 CHT CLD, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E2 TIT1,  E1 IAT,  E1 CDT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PitchC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas, AltPress, OnGrnd
          ,         ,        ,       ,             ,             ,  1073.3, 30.42,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  25.0,  25.1,  -1.2,  -1.5,  44.11,  43.48,    75.66,    74.64,     1.70,    -0.11,  154.33,    0.18,  29.15,    0.0,  172.02,  179.86,  200.31,  194.41,  204.36,  182.62,     ,  106.99,  120.41,  140.67,  162.97,  204.94,  201.92,  196.56,  217.78,  127.51,  115.33,        ,   0, GPS1,  261.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   619.0, 1
          ,         ,        ,       ,             ,             ,  1073.3, 30.42,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  25.0,  25.0,  -1.2,  -1.5,  44.11,  43.48,    75.66,    74.64,     0.90,    -0.13,  154.34,    0.18,  29.15,    0.0,  172.01,  179.78,  200.28,  194.37,  204.29,  182.59,     ,  106.96,  120.35,  140.58,  162.87,  204.85,  201.96,  196.47,  217.67,  127.57,  115.25,        ,   0, GPS1,  261.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   619.0, 1
          ,         ,        ,       ,             ,             ,  1072.3, 30.42,        ,  11.5,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  25.0,  25.0,  -1.2,  -1.5,  44.11,  43.47,    75.66,    74.64,     0.57,    -0.14,  154.35,    0.18,  29.15,    0.0,  172.01,  179.71,  200.26,  194.33,  204.26,  182.56,    0,  106.94,  120.30,  140.52,  162.79,  204.78,  202.00,  196.40,  217.60,  127.65,  115.18,        ,   0, GPS1,  261.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   618.0, 1
          ,         ,        ,       ,             ,             ,  1072.3, 30.42,        ,  11.5,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  23.2,  23.1,  -1.2,  -1.5,  44.10,  43.47,    75.66,    74.64,     0.38,    -0.27,  154.36,    0.48,  28.43,  100.8,  171.89,  180.10,  200.19,  194.25,  203.64,  182.78,    0,  108.13,  120.23,  141.01,  163.67,  204.66,  201.73,  196.32,  216.92,  127.71,  115.47,        ,   0, GPS1,  261.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   618.0, 1
          ,         ,        ,       ,             ,             ,  1071.3, 30.42,        ,  11.5,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  23.3,  23.3,  -1.2,  -1.5,  44.12,  43.47,    75.67,    74.64,     0.23,    -0.38,  154.18,    1.08,  28.16,  147.1,  171.93,  179.45,  200.12,  194.09,  203.80,  182.46,    0,  111.03,  121.55,  142.32,  163.68,  203.75,  200.16,  195.91,  214.49,  127.52,  116.07,        ,   0, GPS1,  261.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   617.0, 1
          ,         ,        ,       ,             ,             ,  1071.3, 30.42,        ,  11.5,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  23.3,  23.3,  -1.2,  -1.5,  44.15,  43.46,    75.70,    74.63,     0.14,    -0.41,  153.46,    1.54,  28.12,  147.6,  171.88,  179.50,  200.13,  194.16,  203.75,  182.44,  -10,  113.34,  123.64,  143.51,  164.07,  202.26,  198.10,  194.80,  211.30,  127.21,  116.38,        ,   0, GPS1,  261.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   617.0, 1
          ,         ,        ,       ,             ,             ,  1070.3, 30.42,        ,  11.5,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  23.2,  23.2,  -1.2,  -1.5,  44.17,  43.46,    75.71,    74.63,     0.09,    -0.38,  152.74,    2.13,  28.11,  145.2,  171.75,  179.40,  200.18,  194.08,  203.61,  182.34,  -10,  115.46,  125.39,  144.49,  164.20,  200.81,  196.10,  193.43,  208.27,  126.93,  116.56,        ,   0, GPS1,  261.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   616.0, 1
          ,         ,        ,       ,             ,             ,  1070.3, 30.42,        ,  11.5,   0.00,       ,  -32.19,       ,       ,     ,     ,      ,      ,  23.3,  23.2,  -1.2,  -1.5,  44.18,  43.47,    75.72,    74.64,     0.06,    -0.47,  151.77,    5.26,  28.05,  143.8,  171.79,  179.07,  199.63,  193.99,  203.79,  182.17,  -10,  116.57,  126.85,  145.42,  163.93,  199.63,  194.29,  192.20,  205.80,  126.81,  116.79,        ,   0, GPS1,  261.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   616.0, 1
          ,         ,        ,       ,             ,             ,  1069.3, 30.42,        ,  11.5,   0.00,       ,  -32.08,       ,       ,     ,     ,      ,      ,  23.8,  23.8,  -1.2,  -1.5,  44.19,  43.47,    75.73,    74.64,     0.04,    -0.89,  151.06,   30.09,  24.52,  436.8,  171.65,  178.75,  199.50,  193.30,  203.00,  182.03,  -20,  120.32,  129.41,  170.33,  182.87,  244.71,  218.85,  195.18,  238.36,  126.70,  116.87,        ,   0, GPS1,  261.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   615.0, 1
          ,         ,        ,       ,             ,             ,  1069.3, 30.42,        ,  11.5,   0.00,       ,  -32.03,       ,       ,     ,     ,      ,      ,  24.8,  24.8,  -1.1,  -1.5,  44.18,  43.46,    75.72,    74.63,     0.18,    -1.38,  150.30,   44.70,  20.37,  624.6,  171.48,  178.21,  199.03,  192.71,  202.23,  181.80,  -20,  166.28,  145.23,  215.07,  246.85,  325.59,  296.22,  216.32,  305.48,  126.47,  116.46,        ,   0, GPS1,  261.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   615.0, 1
