#airframe_info, log_version="1.00", airframe_name="Piper PA-46-350P", unit_software_part_number="006-B2014-21", unit_software_version="3.01", system_software_part_number="006-B2014-21", system_id="71D005C2500CD", tail_number="N41518", mode=NORMAL, flightstream_header="71D005C2500CD_0517", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,    G,    G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      lbs,      lbs,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F, deg F/min,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt,      ft, bool
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll, LatAc, NormAc,   HDG,   TRK, bus1volts, bus2volts, alt1amps, alt2amps,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 CHT CLD, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E2 TIT1,  E1 IAT,  E1 CDT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PitchC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas, AltPress, OnGrnd
          ,         ,        ,       ,             ,             ,  -783.6, 29.59,        ,      ,   0.00,       ,    3.10,   0.50,   0.04, -0.00, 0.01, 100.6,      ,  28.6,  28.6,  11.7,   8.7,  38.92,  33.05,    71.47,    66.36,     2.78,    -1.68,   74.38,   83.59,  14.94,  947.4,  182.36,  193.77,  194.49,  183.91,  182.62,  176.81,     , 1109.40, 1096.01, 1071.68, 1062.56, 1065.25, 1003.30,  822.28, 1014.26,   50.92,   53.63,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  -475.0, 1
          ,         ,        ,       ,             ,             ,  -782.6, 29.59,        ,   8.2,   0.00,       ,   -1.74,   0.49,   0.04, 0.00, 0.00, 100.7,      ,  28.6,  28.6,  11.7,   8.7,  38.91,  33.04,    71.46,    66.35,     2.79,    -1.68,   74.54,   83.53,  14.87,  949.2,  182.62,  194.11,  194.77,  184.25,  182.98,  177.10,    0, 1108.39, 1094.56, 1072.64, 1062.65, 1065.13, 1001.74,  822.31, 1014.39,   50.97,   53.68,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  -474.0, 1
          ,         ,        ,       ,             ,             ,  -783.6, 29.59,        ,   8.2,   0.00,       ,   -5.20,   0.48,   0.04, -0.00, 0.01, 100.7,      ,  28.6,  28.6,  11.7,   8.7,  38.92,  33.04,    71.47,    66.36,     2.80,    -1.68,   74.67,   83.45,  14.90,  948.5,  182.86,  194.38,  195.04,  184.60,  183.33,  177.34,    0, 1109.50, 1094.20, 1072.65, 1061.61, 1064.45, 1000.52,  822.07, 1014.20,   51.02,   53.72,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  -475.0, 1
          ,         ,        ,       ,             ,             ,  -783.6, 29.59,        ,   8.2,   0.00,       ,  -11.77,   0.48,   0.04, -0.00, -0.01, 100.7,      ,  28.6,  28.5,  11.8,   8.8,  38.91,  33.03,    71.46,    66.35,     2.81,    -1.68,   74.81,   83.52,  14.83,  954.0,  183.08,  194.63,  195.36,  184.96,  183.60,  177.59,    0, 1109.74, 1092.97, 1071.25, 1060.95, 1064.82, 1000.65,  821.92, 1013.79,   51.07,   53.78,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  -475.0, 1
          ,         ,        ,       ,             ,             ,  -782.6, 29.59,        ,   8.2,   0.00,       ,  -10.42,   0.49,   0.04, -0.01, 0.01, 100.7,      ,  28.6,  28.5,  11.8,   8.9,  38.92,  33.01,    71.46,    66.33,     2.81,    -1.69,   74.93,   83.50,  14.82,  950.2,  183.26,  194.89,  195.66,  185.24,  183.78,  177.83,    0, 1108.43, 1092.00, 1071.12, 1060.14, 1063.88, 1001.24,  822.13, 1013.36,   51.10,   53.82,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  -474.0, 1
2020-11-04, 10:11:17,  +00:00,       ,   51.3507537,   -0.5632041,  -782.6, 29.59,    76.8,   8.2,   0.00,   0.00,   -4.65,   0.47,   0.04, -0.00, -0.02, 100.7,  89.9,  28.6,  28.5,  11.9,   8.9,  38.91,  33.05,    71.46,    66.36,     2.81,    -1.70,   75.09,   83.33,  14.85,  953.7,  183.51,  195.25,  196.01,  185.55,  184.06,  178.12,    0, 1108.30, 1091.45, 1070.88, 1059.72, 1064.52, 1003.71,  823.00, 1013.73,   51.15,   53.87,   228.5,   0, GPS1,  150.0, 114.35, 114.35,       ,       ,       ,      ,       ,       ,   -0.1,       ,      ,       ,      ,      ,   0.0,     3D, 1852,      ,       , 111.0,       ,  -474.0, 1
2020-11-04, 10:11:18,  +00:00,       ,   51.3507537,   -0.5632050,  -782.6, 29.59,    76.3,   8.2,   0.00,   0.00,    0.03,   0.48,   0.04, 0.01, 0.01, 100.7,  89.9,  28.5,  28.5,  11.9,   9.0,  38.91,  33.03,    71.46,    66.35,     2.80,    -1.70,   75.24,   83.21,  14.85,  950.3,  183.75,  195.57,  196.26,  185.78,  184.41,  178.38,    0, 1107.35, 1091.95, 1071.18, 1060.01, 1064.73, 1004.02,  823.50, 1013.56,   51.20,   53.91,   228.1,   0, GPS1,  150.0, 114.35, 114.35,       ,       ,       ,      ,       ,       ,   -0.1,       ,      ,       ,      ,      ,   0.0,     3D, 1852,      ,       , 111.0,       ,  -474.0, 1
2020-11-04, 10:11:19,  +00:00,       ,   51.3507537,   -0.5632052,  -783.6, 29.59,    76.1,   8.2,   0.00,   0.00,   -3.82,   0.48,   0.04, -0.01, -0.01, 100.7,  89.9,  28.6,  28.6,  11.9,   9.0,  38.92,  33.06,    71.47,    66.37,     2.79,    -1.69,   75.39,   83.16,  14.87,  952.2,  183.99,  195.86,  196.51,  186.12,  184.76,  178.63,    0, 1109.36, 1092.86, 1069.53, 1060.05, 1066.09, 1003.95,  823.69, 1013.36,   51.25,   53.97,   227.8,   0, GPS1,  150.0, 114.35, 114.35,       ,       ,       ,      ,       ,       ,   -0.1,       ,      ,       ,      ,      ,   0.0,     3D, 1852,      ,       , 111.0,       ,  -475.0, 1
2020-11-04, 10:11:20,  +00:00,       ,   51.3507613,   -0.5632077,  -782.6, 29.59,    79.8,   8.2,   0.00,   0.00,   -8.68,   0.47,   0.04, 0.01, -0.02, 100.7,  89.9,  28.6,  28.6,  11.9,   8.9,  38.90,  33.05,    71.45,    66.36,     2.79,    -1.68,   75.54,   83.08,  14.84,  952.9,  184.22,  196.10,  196.78,  186.48,  185.08,  178.85,    0, 1110.59, 1094.14, 1068.92, 1059.02, 1065.21, 1003.81,  823.71, 1012.59,   51.28,   54.01,   231.5,   0, GPS1,  150.0, 114.35, 114.35,       ,       ,       ,      ,       ,       ,   -0.1,       ,      ,       ,      ,      ,   0.0,     3D, 1852,      ,       , 121.5,       ,  -474.0, 1
2020-11-04, 10:11:21,  +00:00,       ,   51.3507537,   -0.5632077,  -783.6, 29.59,    79.6,   8.2,   0.00,   0.02,   -7.52,   0.49,   0.04, -0.01, -0.01, 100.7,  89.9,  28.6,  28.5,  12.0,   9.0,  38.90,  33.02,    71.45,    66.34,     2.80,    -1.68,   75.67,   82.98,  14.85,  950.3,  184.43,  196.37,  197.10,  186.80,  185.32,  179.07,    0, 1110.63, 1094.71, 1068.45, 1057.92, 1065.14, 1003.98,  823.68, 1012.16,   51.33,   54.05,   231.3,   0, GPS1,  150.0, 114.35, 114.35,       ,       ,       ,      ,       ,       ,   -0.1,       ,      ,       ,      ,      ,   0.0,     3D, 1852,      ,       , 121.5,       ,  -475.0, 1
