#airframe_info, log_version="1.00", airframe_name="Piper PA-46-350P", unit_software_part_number="006-B2014-21", unit_software_version="3.01", system_software_part_number="006-B2014-21", system_id="71D005C2500CD", tail_number="N41518", mode=NORMAL, flightstream_header="71D005C2500CD_0468", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,    G,    G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      lbs,      lbs,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F, deg F/min,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt,      ft, bool
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll, LatAc, NormAc,   HDG,   TRK, bus1volts, bus2volts, alt1amps, alt2amps,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 CHT CLD, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E2 TIT1,  E1 IAT,  E1 CDT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PitchC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas, AltPress, OnGrnd
          ,         ,        ,       ,             ,             ,  1520.0, 30.00,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  23.1,  23.2,  -1.2,  -1.5,  50.50,  49.89,    80.12,    78.87,     0.73,    -0.39,  155.53,   10.36,  27.83,  142.5,  244.30,  259.33,  283.37,  273.69,  266.57,  232.34,     ,  547.72,  535.39,  576.44,  556.58,  579.35,  506.66,  610.50,  664.47,  120.72,  142.00,        ,   0, GPS1,  217.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  1445.0, 1
          ,         ,        ,       ,             ,             ,  1520.0, 30.00,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  23.1,  23.1,  -1.2,  -1.5,  50.53,  49.89,    80.14,    78.87,     0.46,    -0.35,  155.29,   12.96,  27.78,  148.4,  244.17,  259.32,  283.53,  273.70,  266.63,  232.30,     ,  533.14,  520.79,  562.52,  542.33,  560.19,  491.53,  601.18,  638.41,  119.99,  140.89,        ,   0, GPS1,  217.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  1445.0, 1
          ,         ,        ,       ,             ,             ,  1520.0, 30.00,        ,  20.2,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  22.9,  23.0,  -1.2,  -1.5,  50.53,  49.90,    80.14,    78.88,     0.28,    -0.37,  155.07,   13.02,  27.80,  145.7,  244.04,  259.38,  283.70,  273.61,  266.64,  232.28,    0,  518.21,  507.42,  550.01,  527.80,  543.44,  478.39,  589.27,  615.79,  119.44,  139.65,        ,   0, GPS1,  217.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  1445.0, 1
          ,         ,        ,       ,             ,             ,  1519.0, 30.00,        ,  20.2,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  23.4,  23.4,  -1.2,  -1.5,  50.54,  49.89,    80.14,    78.87,     0.18,    -0.91,  155.07,   24.02,  26.15,  391.4,  243.76,  258.66,  282.76,  272.80,  265.92,  231.91,    0,  503.92,  494.22,  546.75,  518.43,  539.69,  472.83,  578.72,  607.87,  119.03,  138.40,        ,   0, GPS1,  217.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  1444.0, 1
          ,         ,        ,       ,             ,             ,  1519.0, 30.00,        ,  20.2,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  23.5,  23.5,  -1.2,  -1.5,  50.53,  49.90,    80.14,    78.88,     0.12,    -1.65,  155.26,   40.66,  22.58,  602.8,  243.73,  258.82,  283.04,  273.19,  266.47,  231.94,    0,  516.82,  505.82,  588.09,  565.71,  550.37,  526.49,  583.85,  636.30,  118.55,  136.01,        ,   0, GPS1,  217.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  1444.0, 1
          ,         ,        ,       ,             ,             ,  1520.0, 30.00,        ,  20.2,   0.00,       ,  -29.31,       ,       ,     ,     ,      ,      ,  24.4,  24.4,  -1.2,  -1.6,  50.54,  49.89,    80.15,    78.87,     2.48,    -0.29,  155.54,   38.26,  24.76,  533.1,  243.54,  258.45,  282.73,  272.85,  266.15,  231.76,  -37,  553.62,  539.16,  623.86,  603.09,  547.21,  575.36,  604.34,  657.30,  117.96,  133.29,        ,   0, GPS1,  217.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  1445.0, 1
          ,         ,        ,       ,             ,             ,  1520.0, 30.00,        ,  20.2,   0.00,       ,   -9.15,       ,       ,     ,     ,      ,      ,  24.5,  24.5,  -1.1,  -1.6,  50.55,  49.84,    80.16,    78.84,     4.88,     0.44,  155.63,   41.00,  27.70,  560.4,  243.53,  258.60,  283.01,  273.23,  266.59,  231.83,  -37,  553.41,  519.25,  638.44,  595.14,  576.17,  566.68,  606.62,  677.48,  117.48,  130.16,        ,   0, GPS1,  217.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  1445.0, 1
          ,         ,        ,       ,             ,             ,  1519.0, 30.00,        ,  20.2,   0.00,       ,   -2.36,       ,       ,     ,     ,      ,      ,  24.5,  24.5,  -1.1,  -1.6,  50.55,  49.86,    80.15,    78.86,     4.82,    -0.05,  155.49,   33.74,  27.19,  412.8,  243.41,  258.48,  282.98,  273.16,  266.54,  231.76,  -37,  545.09,  493.29,  648.73,  571.80,  566.44,  538.00,  597.00,  672.53,  116.89,  128.01,        ,   0, GPS1,  217.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  1444.0, 1
          ,         ,        ,       ,             ,             ,  1517.0, 30.00,        ,  20.2,   0.00,       ,  -14.83,       ,       ,     ,     ,      ,      ,  28.7,  28.6,   4.5,   3.5,  50.54,  49.84,    80.15,    78.84,     6.25,     0.14,  155.23,   64.21,  23.68, 1352.2,  243.17,  258.05,  282.73,  272.69,  265.97,  231.56,   -8,  582.02,  512.12,  677.76,  597.99,  597.62,  556.71,  595.89,  707.60,  116.30,  125.45,        ,   0, GPS1,  217.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  1442.0, 1
          ,         ,        ,       ,             ,             ,  1523.0, 30.00,        ,  20.2,   0.00,       ,    1.30,       ,       ,     ,     ,      ,      ,  28.6,  28.6,   6.6,   7.1,  50.42,  49.79,    80.06,    78.81,     6.27,    -0.32,  155.00,   69.19,  16.20, 1354.2,  243.19,  258.09,  282.76,  272.86,  266.24,  231.55,   -8,  676.43,  605.23,  755.40,  692.12,  689.93,  645.95,  634.91,  798.01,  115.52,  122.10,        ,   0, GPS1,  217.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,  1448.0, 1
