#airframe_info, log_version="1.00", airframe_name="Piper PA-46-350P", unit_software_part_number="006-B2014-21", unit_software_version="3.01", system_software_part_number="006-B2014-21", system_id="71D005C2500CD", tail_number="N41518", mode=NORMAL, flightstream_header="71D005C2500CD_0514", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,    G,    G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      lbs,      lbs,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F, deg F/min,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt,      ft, bool
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll, LatAc, NormAc,   HDG,   TRK, bus1volts, bus2volts, alt1amps, alt2amps,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 CHT CLD, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E2 TIT1,  E1 IAT,  E1 CDT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PitchC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas, AltPress, OnGrnd
          ,         ,        ,       ,             ,             ,        , 29.77,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.3,  24.3,  -1.1,  -1.5,  35.31,  30.82,    68.55,    64.59,     4.38,    -0.23,   51.87,    9.60,  29.58,    0.0,   51.22,   51.16,   51.07,   51.09,   51.03,   51.04,     ,   49.58,   49.99,   49.60,   49.94,   49.45,   49.61,   49.28,   49.12,   50.28,   50.39,        ,   0, GPS1,  262.8,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,        , 1
          ,         ,        ,       ,             ,             ,   -51.7, 29.77,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.3,  24.3,  -1.1,  -1.5,  35.32,  30.82,    68.55,    64.59,     2.65,    -0.24,   51.88,    9.50,  29.58,    0.0,   51.22,   51.15,   51.06,   51.09,   51.03,   51.03,     ,   49.60,   50.01,   49.62,   49.96,   49.48,   49.63,   49.28,   49.14,   50.30,   50.39,        ,   0, GPS1,  262.8,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,    92.0, 1
          ,         ,        ,       ,             ,             ,   -51.7, 29.77,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.2,  24.3,  -1.1,  -1.5,  35.32,  30.82,    68.55,    64.59,     1.68,    -0.24,   51.89,    9.41,  29.58,    0.0,   51.22,   51.14,   51.05,   51.08,   51.03,   51.03,    0,   49.63,   50.01,   49.63,   49.98,   49.51,   49.65,   49.28,   49.15,   50.32,   50.39,        ,   0, GPS1,  262.8,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,    92.0, 1
          ,         ,        ,       ,             ,             ,   -52.7, 29.77,        ,   9.8,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.2,  24.2,  -1.1,  -1.5,  35.32,  30.82,    68.55,    64.59,     1.07,    -0.24,   51.90,    9.32,  29.58,    0.0,   51.22,   51.13,   51.05,   51.08,   51.03,   51.02,    0,   49.65,   50.03,   49.66,   49.99,   49.54,   49.67,   49.29,   49.16,   50.33,   50.38,        ,   0, GPS1,  262.8,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,    91.0, 1
          ,         ,        ,       ,             ,             ,   -52.7, 29.77,        ,   9.8,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.2,  24.2,  -1.1,  -1.5,  35.32,  30.81,    68.55,    64.59,     0.67,    -0.24,   51.91,    9.24,  29.58,    0.0,   51.21,   51.13,   51.05,   51.09,   51.03,   51.02,    0,   49.67,   50.03,   49.67,   50.00,   49.56,   49.68,   49.30,   49.19,   50.35,   50.39,        ,   0, GPS1,  262.8,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,    91.0, 1
          ,         ,        ,       ,             ,             ,   -52.7, 29.77,        ,   9.8,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.2,  24.2,  -1.1,  -1.5,  35.32,  30.82,    68.55,    64.59,     0.43,    -0.24,   51.91,    9.18,  29.58,    0.0,   51.22,   51.13,   51.04,   51.09,   51.02,   51.02,   -0,   49.68,   50.06,   49.68,   50.01,   49.58,   49.70,   49.31,   49.20,   50.38,   50.39,        ,   0, GPS1,  262.8,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,    91.0, 1
          ,         ,        ,       ,             ,             ,   -53.7, 29.77,        ,   9.8,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.2,  24.2,  -1.1,  -1.5,  35.32,  30.82,    68.55,    64.59,     0.27,    -0.24,   51.92,    9.10,  29.58,    0.0,   51.21,   51.12,   51.04,   51.09,   51.03,   51.02,   -0,   49.69,   50.07,   49.70,   50.03,   49.61,   49.72,   49.31,   49.21,   50.38,   50.39,        ,   0, GPS1,  262.8,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,    90.0, 1
          ,         ,        ,       ,             ,             ,   -53.7, 29.77,        ,   9.8,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.2,  24.2,  -1.1,  -1.5,  35.32,  30.81,    68.55,    64.58,     0.18,    -0.24,   51.93,    9.02,  29.58,    0.0,   51.21,   51.12,   51.03,   51.09,   51.03,   51.01,   -0,   49.70,   50.08,   49.71,   50.04,   49.63,   49.74,   49.33,   49.22,   50.40,   50.38,        ,   0, GPS1,  262.8,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,    90.0, 1
          ,         ,        ,       ,             ,             ,   -53.7, 29.77,        ,   9.8,   0.00,       ,  -32.00,       ,       ,     ,     ,      ,      ,  24.2,  24.2,  -1.1,  -1.5,  35.32,  30.81,    68.55,    64.58,     0.11,    -0.24,   51.93,    8.95,  29.58,    0.0,   51.20,   51.12,   51.04,   51.09,   51.02,   51.01,   -0,   49.73,   50.10,   49.73,   50.05,   49.65,   49.75,   49.33,   49.25,   50.41,   50.38,        ,   0, GPS1,  262.8,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,    90.0, 1
          ,         ,        ,       ,             ,             ,   -54.7, 29.77,        ,   9.8,   0.00,       ,  -32.00,       ,       ,     ,     ,      ,      ,  24.2,  24.2,  -1.1,  -1.5,  35.31,  30.81,    68.55,    64.58,     0.07,    -0.24,   51.94,    8.88,  29.58,    0.0,   51.19,   51.12,   51.04,   51.08,   51.03,   51.00,   -0,   49.74,   50.10,   49.74,   50.06,   49.67,   49.77,   49.34,   49.25,   50.41,   50.38,        ,   0, GPS1,  262.8,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,    89.0, 1
