#airframe_info, log_version="1.03", log_content_version="1.01", Product="TXi", airframe_name="Piper PA-46-350P", unit_software_part_number="006-B2014-26", unit_software_version="3.12", system_software_part_number="006-B2014-26", system_id="71D005C2500CD", tail_number="N41518", unit="GDU1", unit_cycle="561", mode=NORMAL, flightstream_header="71D005C2500CD_20201217_130641", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,    G,    G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      lbs,      lbs,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F, deg F/min,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt,      ft, bool,          #,            s, crc16
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll, LatAc, NormAc,   HDG,   TRK, bus1volts, bus2volts, alt1amps, alt2amps,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 CHT CLD, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E2 TIT1,  E1 IAT,  E1 CDT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PitchC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas, AltPress, OnGrnd,     LogIdx,      SysTime, LogCheck
2020-12-17, 13:06:41,  +00:00,       ,             ,             ,   194.1, 29.83,        ,      ,   0.00,       ,  -15.33,  -1.67,  -0.22, -0.00, -0.00, 133.9,      ,  28.7,  28.6,  12.4,  10.8,  29.27,  21.89,   175.64,   131.34,     4.34,    -1.18,  123.83,   70.29,  15.13, 1135.8,  249.74,  267.41,  284.49,  268.73,  263.06,  251.01,     , 1226.45, 1193.08, 1281.08, 1219.89, 1191.49, 1139.06, 1008.30, 1213.05,   73.39,   73.09,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   283.0, 1,          0,         10.6, 6484
2020-12-17, 13:06:43,  +00:00,       ,             ,             ,   196.1, 29.83,        ,      ,   0.00,       ,   -2.33,  -1.66,  -0.20, 0.01, 0.01, 133.8,      ,  28.7,  28.6,  12.5,  10.8,  29.27,  21.88,   175.65,   131.28,     4.19,    -1.19,  123.92,   70.43,  15.02, 1146.9,  249.81,  267.48,  284.62,  268.81,  263.19,  251.05,     , 1225.82, 1191.78, 1281.68, 1219.78, 1192.55, 1137.32, 1007.90, 1214.39,   73.42,   73.09,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   285.0, 1,          1,         11.7, 432F
2020-12-17, 13:06:44,  +00:00,       ,             ,             ,   195.1, 29.83,        ,   9.2,   0.00,       ,   10.96,  -1.65,  -0.20, 0.00, -0.03, 133.8,      ,  28.7,  28.6,  12.5,  10.8,  29.29,  21.87,   175.73,   131.21,     4.24,    -1.20,  124.00,   70.42,  15.03, 1142.3,  249.87,  267.52,  284.73,  268.89,  263.28,  251.08,    0, 1225.19, 1190.99, 1281.72, 1219.50, 1193.31, 1136.84, 1007.57, 1214.04,   73.45,   73.09,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   284.0, 1,          2,         12.7, A045
2020-12-17, 13:06:45,  +00:00,       ,             ,             ,   194.1, 29.83,        ,   9.2,   0.00,       ,    2.53,  -1.67,  -0.21, 0.00, -0.00, 133.8,      ,  28.7,  28.6,  12.6,  10.9,  29.29,  21.86,   175.77,   131.18,     4.26,    -1.21,  124.08,   70.33,  15.02, 1142.0,  249.92,  267.58,  284.84,  268.96,  263.39,  251.14,    0, 1225.08, 1190.74, 1280.95, 1220.89, 1193.09, 1138.57, 1007.46, 1213.07,   73.47,   73.11,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   283.0, 1,          3,         13.7, 9DF6
2020-12-17, 13:06:46,  +00:00,       ,             ,             ,   196.1, 29.83,        ,   9.2,   0.00,       ,   -6.73,  -1.67,  -0.21, 0.01, -0.04, 133.8,      ,  28.7,  28.6,  12.6,  11.0,  29.26,  21.86,   175.58,   131.16,     4.28,    -1.25,  124.16,   70.34,  15.06, 1142.7,  249.97,  267.67,  284.96,  269.06,  263.47,  251.20,    0, 1224.68, 1193.29, 1280.41, 1220.44, 1191.37, 1141.28, 1007.87, 1211.70,   73.50,   73.11,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   285.0, 1,          4,         14.7, 4DDD
2020-12-17, 13:06:47,  +00:00,       ,   52.3721542,   -1.4797533,   196.1, 29.83,   273.9,   9.2,   0.00,   0.00,    7.39,  -1.67,  -0.20, 0.00, -0.06, 133.8,  91.6,  28.7,  28.6,  12.7,  11.0,  29.30,  21.88,   175.79,   131.25,     4.30,    -1.17,  124.24,   70.20,  15.07, 1139.1,  250.02,  267.72,  285.08,  269.16,  263.57,  251.25,    0, 1224.27, 1192.29, 1280.47, 1219.56, 1193.09, 1140.89, 1007.71, 1212.84,   73.53,   73.11,   434.2,   0, GPS1,  150.0,       , 114.35,       ,       ,       ,      ,       ,       ,   -0.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,      8,  14.0,     13,   285.0, 1,          5,         15.7, 983E
2020-12-17, 13:06:48,  +00:00,       ,   52.3721542,   -1.4797528,   195.1, 29.83,   274.0,   9.2,   0.00,   0.00,    3.11,  -1.69,  -0.21, -0.00, -0.05, 133.8,  91.6,  28.7,  28.6,  12.8,  11.0,  29.27,  21.90,   175.64,   131.40,     4.34,    -1.20,  124.34,   70.20,  15.21, 1134.7,  250.05,  267.78,  285.21,  269.24,  263.67,  251.30,    0, 1224.40, 1189.19, 1280.57, 1220.92, 1191.79, 1140.32, 1008.19, 1212.79,   73.56,   73.10,   434.4,   0, GPS1,  150.0,       , 114.35,       ,       ,       ,      ,       ,       ,   -0.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,      8,  13.0,     14,   284.0, 1,          6,         16.7, 4332
2020-12-17, 13:06:49,  +00:00,       ,   52.3721542,   -1.4797525,   195.1, 29.83,   274.1,   9.2,   0.00,   0.00,    1.86,  -1.67,  -0.20, 0.00, -0.03, 133.8,  91.6,  28.7,  28.6,  12.8,  11.0,  29.32,  21.85,   175.89,   131.12,     4.33,    -1.17,  124.42,   70.17,  15.15, 1136.6,  250.07,  267.85,  285.32,  269.31,  263.78,  251.36,    0, 1224.95, 1187.46, 1280.65, 1220.47, 1191.28, 1140.18, 1008.72, 1213.39,   73.59,   73.11,   434.4,   0, GPS1,  150.0,       , 114.35,       ,       ,       ,      ,       ,       ,   -0.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,      9,  13.5,     14,   284.0, 1,          7,         17.7, 566D
2020-12-17, 13:06:50,  +00:00,       ,   52.3721542,   -1.4797525,   195.1, 29.83,   274.1,   9.2,   0.00,   0.00,  -11.54,  -1.68,  -0.19, 0.01, 0.01, 133.8,  91.6,  28.7,  28.6,  12.8,  11.0,  29.27,  21.85,   175.63,   131.12,     4.33,    -1.19,  124.51,   70.21,  15.15, 1136.2,  250.09,  267.91,  285.43,  269.39,  263.86,  251.41,    0, 1225.81, 1188.85, 1280.45, 1219.38, 1190.30, 1139.85, 1008.67, 1213.05,   73.60,   73.12,   434.4,   0, GPS1,  150.0,       , 114.35,       ,       ,       ,      ,       ,       ,   -0.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,      9,  13.5,     14,   284.0, 1,          8,         18.7, 0366
2020-12-17, 13:06:51,  +00:00,       ,   52.3721542,   -1.4797528,   195.1, 29.83,   274.2,   9.2,   0.00,   0.00,  -20.23,  -1.67,  -0.18, 0.01, -0.03, 133.7,  91.6,  28.7,  28.6,  12.8,  11.1,  29.30,  21.88,   175.82,   131.25,     4.38,    -1.23,  124.60,   70.21,  15.09, 1141.6,  250.08,  267.96,  285.50,  269.47,  263.95,  251.45,    0, 1224.78, 1188.08, 1279.90, 1218.76, 1190.39, 1139.80, 1008.66, 1212.63,   73.63,   73.12,   434.5,   0, GPS1,  150.0,       , 114.35,       ,       ,       ,      ,       ,       ,   -0.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,      8,  14.0,     13,   284.0, 1,          9,         19.7, 096C
