#airframe_info, log_version="1.03", log_content_version="1.01", Product="TXi", airframe_name="Piper PA-46-350P", unit_software_part_number="006-B2014-26", unit_software_version="3.12", system_software_part_number="006-B2014-26", system_id="71D005C2500CD", tail_number="N41518", unit="GDU1", unit_cycle="642", mode=NORMAL, flightstream_header="71D005C2500CD_0642", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,    G,    G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      lbs,      lbs,      gph,      psi,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F, deg F/min,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt,      ft, bool,          #,            s, crc16
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll, LatAc, NormAc,   HDG,   TRK, bus1volts, bus2volts, alt1amps, alt2amps,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 CHT CLD, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E2 TIT1,  E1 IAT,  E1 CDT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PitchC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas, AltPress, OnGrnd,     LogIdx,      SysTime, LogCheck
          ,         ,        ,       ,             ,             ,  -183.9, 29.83,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.7,  24.7,  -1.2,  -1.5,  43.61,  42.74,   261.67,   256.43,     5.00,    -0.19,   73.18,    0.21,  29.99,    0.0,        ,   64.21,   63.79,   65.40,   65.51,   65.00,   64.48,     ,   65.39,   63.92,   66.88,   64.65,   65.26,   64.39,   62.86,   65.44,   68.48,   64.40,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   -95.0, 1,          0,         10.7, DB06
          ,         ,        ,       ,             ,             ,  -184.9, 29.83,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.7,  24.7,  -1.2,  -1.5,  43.61,  42.74,   261.64,   256.41,     3.05,    -0.24,   73.18,    0.21,  29.99,    0.0,        ,   64.21,   63.80,   65.42,   65.51,   65.01,   64.48,     ,   65.38,   63.93,   66.89,   64.66,   65.26,   64.39,   62.87,   65.44,   68.49,   64.39,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   -96.0, 1,          1,         11.7, E775
          ,         ,        ,       ,             ,             ,  -184.9, 29.83,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.7,  24.7,  -1.2,  -1.5,  43.60,  42.74,   261.61,   256.41,     1.93,    -0.24,   73.19,    0.21,  29.99,    0.0,        ,   64.21,   63.80,   65.41,   65.52,   65.00,   64.48,    0,   65.38,   63.93,   66.88,   64.66,   65.26,   64.38,   62.87,   65.43,   68.49,   64.40,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   -96.0, 1,          2,         12.7, 6A55
          ,         ,        ,       ,             ,             ,  -184.9, 29.83,        ,  18.5,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.7,  24.7,  -1.2,  -1.5,  43.61,  42.74,   261.66,   256.42,     1.23,    -0.24,   73.20,    0.21,  29.99,    0.0,       0,   64.22,   63.79,   65.41,   65.52,   65.00,   64.47,    0,   65.40,   63.93,   66.88,   64.65,   65.27,   64.39,   62.87,   65.44,   68.49,   64.40,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   -96.0, 1,          3,         13.7, C295
          ,         ,        ,       ,             ,             ,  -184.9, 29.83,        ,  18.5,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.6,  24.7,  -1.2,  -1.5,  43.63,  42.74,   261.77,   256.42,     0.78,    -0.24,   73.20,    0.21,  29.99,    0.0,       0,   64.22,   63.80,   65.41,   65.53,   65.01,   64.48,    0,   65.39,   63.94,   66.89,   64.67,   65.26,   64.39,   62.88,   65.44,   68.49,   64.40,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   -96.0, 1,          4,         14.7, C4B3
          ,         ,        ,       ,             ,             ,  -184.9, 29.83,        ,  18.5,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  24.6,  24.6,  -1.2,  -1.5,  43.63,  42.74,   261.76,   256.42,     0.49,    -0.24,   73.21,    0.21,  29.98,    0.0,       0,   64.22,   63.79,   65.42,   65.53,   65.01,   64.48,   -0,   65.40,   63.93,   66.87,   64.66,   65.26,   64.39,   62.88,   65.44,   68.49,   64.40,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   -96.0, 1,          5,         15.7, D855
          ,         ,        ,       ,             ,             ,  -185.9, 29.83,        ,  18.5,   0.00,       ,  -22.81,       ,       ,     ,     ,      ,      ,  23.2,  23.2,  -1.2,  -1.5,  43.65,  42.73,   261.89,   256.37,     0.31,    -0.67,   73.20,    0.21,  28.72,  198.8,       1,   64.20,   64.31,   64.30,   64.37,   64.81,   64.75,   -0,   63.95,   63.60,   66.88,   65.67,   70.83,   63.94,   62.88,   68.85,   68.51,   64.41,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   -97.0, 1,          6,         16.7, C1C9
          ,         ,        ,       ,             ,             ,  -186.9, 29.83,        ,  18.5,   0.00,       ,  -27.83,       ,       ,     ,     ,      ,      ,  23.0,  23.0,  -1.2,  -1.5,  43.68,  42.71,   262.11,   256.25,     0.20,    -0.57,   73.21,    0.42,  29.01,  157.0,       1,   64.27,   63.97,   65.27,   65.54,   65.23,   64.57,   -0,   65.00,   63.79,   66.98,   65.73,   87.32,   67.58,   63.13,   78.09,   68.25,   64.46,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   -98.0, 1,          7,         17.7, 5DC2
          ,         ,        ,       ,             ,             ,  -186.9, 29.83,        ,  18.5,   0.00,       ,  -30.31,       ,       ,     ,     ,      ,      ,  23.4,  23.4,  -1.2,  -1.5,  43.70,  42.70,   262.19,   256.19,     0.12,    -0.98,   73.09,    0.88,  27.61,  320.1,       1,   64.12,   63.40,   64.98,   64.99,   64.55,   64.31,   -3,   73.24,   68.47,   72.63,   83.97,  124.12,  102.90,   69.56,  103.78,   67.97,   64.54,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   -98.0, 1,          8,         18.7, A4BF
          ,         ,        ,       ,             ,             ,  -187.9, 29.83,        ,  18.5,   0.00,       ,  -36.66,       ,       ,     ,     ,      ,      ,  25.6,  25.2,   0.0,  -0.8,  43.73,  42.68,   262.40,   256.09,     0.43,    -1.71,   72.85,    1.63,  21.42,  744.6,       1,   63.61,   62.22,   63.52,   62.69,   62.17,   63.80,   -3,  145.99,  135.34,  147.61,  178.56,  219.03,  191.83,  100.47,  211.00,   67.67,   64.65,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,   -99.0, 1,          9,         19.7, ED8D
