#airframe_info, log_version="1.00", airframe_name="Piper PA-46-350P", unit_software_part_number="006-B2014-21", unit_software_version="3.01", system_software_part_number="006-B2014-21", system_id="71D005C2500CD", tail_number="N41518", mode=NORMAL, flightstream_header="71D005C2500CD_0492", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,    G,    G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      lbs,      lbs,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F, deg F/min,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt,      ft, bool
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll, LatAc, NormAc,   HDG,   TRK, bus1volts, bus2volts, alt1amps, alt2amps,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 CHT CLD, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E2 TIT1,  E1 IAT,  E1 CDT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PitchC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas, AltPress, OnGrnd
2020-08-18, 16:34:46,  +00:00,    STP,   43.2488708,    6.1299143,   258.1, 29.83,   245.4,  30.0,   0.00,   0.00,    3.35,   0.79,   0.93, -0.02, 0.02,  29.5, 267.7,  28.6,  28.5,  23.6,  21.8,  35.39,  34.29,    68.61,    67.35,     5.05,    -0.85,  129.04,   72.64,  16.26, 1156.2,  262.10,  261.18,  269.17,  260.24,  251.11,  237.81,    0, 1184.78, 1150.36, 1177.79, 1166.29, 1146.06, 1108.58,  969.21, 1153.42,  102.07,  103.01,   404.7,   0, GPS1,   92.4, 111.35, 114.15,  0.086,       ,       ,      ,   20.8,   92.6,    2.1,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,     10,  21.0,     14,   347.0, 1
2020-08-18, 16:34:49,  +00:00,    STP,   43.2488708,    6.1299143,   254.1, 29.83,   245.7,  30.0,   0.00,   0.00,  -25.87,   0.81,   0.93, -0.01, 0.02,  29.5, 267.7,  28.6,  28.5,  23.6,  21.9,  35.40,  34.32,    68.62,    67.37,     5.08,    -0.85,  129.41,   72.86,  16.06, 1173.1,  262.60,  261.80,  269.82,  260.92,  251.67,  238.30,    0, 1182.35, 1152.35, 1179.15, 1169.49, 1148.53, 1109.26,  970.44, 1155.13,  102.20,  103.13,   405.0,   0, GPS1,   92.4, 111.35, 114.15,  0.086,       ,       ,      ,   20.8,   92.6,    2.1,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,     10,  20.5,     14,   343.0, 1
2020-08-18, 16:34:50,  +00:00,    STP,   43.2488708,    6.1299143,   255.1, 29.83,   245.7,  30.0,   0.00,   0.00,  -25.06,   0.82,   0.94, -0.01, -0.02,  29.5, 267.7,  28.6,  28.5,  23.6,  22.0,  35.40,  34.32,    68.62,    67.37,     5.06,    -0.86,  129.53,   72.89,  16.04, 1172.9,  262.78,  262.01,  270.03,  261.18,  251.90,  238.45,    0, 1183.95, 1152.75, 1179.31, 1169.98, 1150.58, 1109.60,  970.96, 1156.35,  102.25,  103.15,   405.0,   0, GPS1,   92.4, 111.35, 114.15,  0.086,       ,       ,      ,   20.8,   92.6,    2.1,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,     10,  21.0,     14,   344.0, 1
2020-08-18, 16:34:51,  +00:00,    STP,   43.2488708,    6.1299143,   253.1, 29.83,   245.5,  30.0,   0.00,   0.00,  -32.78,   0.82,   0.95, -0.01, 0.00,  29.5, 267.7,  28.6,  28.5,  23.6,  22.0,  35.41,  34.33,    68.63,    67.38,     5.06,    -0.86,  129.65,   72.71,  16.13, 1168.4,  262.97,  262.20,  270.27,  261.41,  252.09,  238.62,    0, 1185.52, 1152.95, 1180.26, 1169.75, 1151.12, 1110.73,  971.29, 1156.69,  102.31,  103.19,   404.8,   0, GPS1,   92.4, 111.35, 114.15,  0.086,       ,       ,      ,   20.8,   92.6,    2.1,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,     10,  20.5,     14,   342.0, 1
2020-08-18, 16:34:52,  +00:00,    STP,   43.2488708,    6.1299143,   252.1, 29.83,   245.6,  30.0,   0.00,   0.00,  -44.27,   0.83,   0.96, -0.02, -0.01,  29.6, 267.7,  28.6,  28.5,  23.7,  22.0,  35.42,  34.32,    68.64,    67.37,     5.08,    -0.89,  129.78,   72.55,  16.25, 1159.2,  263.16,  262.46,  270.49,  261.63,  252.23,  238.79,    0, 1184.96, 1152.21, 1180.08, 1169.87, 1151.87, 1112.36,  971.65, 1156.71,  102.37,  103.24,   404.9,   0, GPS1,   92.4, 111.35, 114.15,  0.086,       ,       ,      ,   20.8,   92.6,    2.1,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,     10,  20.5,     14,   341.0, 1
2020-08-18, 16:34:53,  +00:00,    STP,   43.2488708,    6.1299152,   254.1, 29.83,   245.7,  30.0,   0.00,   0.00,  -39.88,   0.86,   0.94, -0.02, 0.02,  29.6, 267.7,  28.6,  28.5,  23.7,  22.0,  35.42,  34.32,    68.64,    67.37,     5.07,    -0.86,  129.90,   72.48,  16.31, 1161.8,  263.35,  262.67,  270.72,  261.84,  252.45,  238.94,    0, 1186.35, 1152.00, 1179.71, 1169.15, 1152.83, 1111.68,  971.68, 1157.35,  102.42,  103.30,   405.0,   0, GPS1,   92.4, 111.35, 114.15,  0.086,       ,       ,      ,   20.8,   92.6,    2.1,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,     10,  20.5,     14,   343.0, 1
2020-08-18, 16:34:54,  +00:00,    STP,   43.2488708,    6.1299152,   252.1, 29.83,   245.6,  30.0,   0.00,   0.00,  -33.89,   0.86,   0.93, -0.01, 0.00,  29.6, 267.7,  28.6,  28.5,  23.7,  22.0,  35.40,  34.35,    68.62,    67.39,     5.06,    -0.86,  130.03,   72.77,  16.09, 1176.4,  263.55,  262.87,  270.90,  262.09,  252.66,  239.11,    0, 1187.87, 1151.77, 1179.59, 1168.70, 1151.60, 1111.97,  971.72, 1157.19,  102.47,  103.34,   404.9,   0, GPS1,   92.4, 111.35, 114.15,  0.086,       ,       ,      ,   20.8,   92.6,    2.1,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,     10,  21.0,     14,   341.0, 1
2020-08-18, 16:34:55,  +00:00,    STP,   43.2488708,    6.1299157,   253.1, 29.83,   245.8,  30.0,   0.00,   0.00,  -30.42,   0.86,   0.94, -0.01, -0.02,  29.6, 267.7,  28.6,  28.5,  23.7,  22.1,  35.39,  34.35,    68.62,    67.40,     5.04,    -0.89,  130.16,   72.86,  15.96, 1181.6,  263.74,  263.07,  271.14,  262.28,  252.82,  239.26,    0, 1189.15, 1151.89, 1180.35, 1169.99, 1152.74, 1111.69,  971.85, 1157.66,  102.51,  103.38,   405.1,   0, GPS1,   92.4, 111.35, 114.15,  0.086,       ,       ,      ,   20.8,   92.6,    2.1,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,     10,  20.0,     14,   342.0, 1
2020-08-18, 16:34:56,  +00:00,    STP,   43.2488708,    6.1299157,   253.1, 29.83,   245.9,  30.0,   0.00,   0.00,  -22.22,   0.85,   0.94, -0.01, 0.01,  29.6, 267.7,  28.6,  28.5,  24.0,  22.4,  35.40,  34.33,    68.62,    67.38,     5.07,    -0.86,  130.29,   72.66,  16.05, 1171.0,  263.93,  263.29,  271.34,  262.48,  253.06,  239.43,    0, 1189.81, 1153.46, 1181.26, 1170.26, 1154.06, 1112.05,  972.04, 1158.70,  102.58,  103.42,   405.2,   0, GPS1,   92.4, 111.35, 114.15,  0.086,       ,       ,      ,   20.8,   92.6,    2.1,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,     10,  20.5,     14,   342.0, 1
2020-08-18, 16:34:57,  +00:00,    STP,   43.2488708,    6.1299143,   254.1, 29.83,   245.6,  30.0,   0.00,   0.00,  -11.48,   0.85,   0.94, -0.02, 0.01,  29.5, 267.7,  28.6,  28.5,  24.2,  22.5,  35.39,  34.32,    68.61,    67.37,     5.08,    -0.85,  130.41,   72.39,  16.22, 1160.6,  264.11,  263.51,  271.54,  262.75,  253.27,  239.60,    0, 1187.78, 1154.06, 1181.06, 1169.77, 1153.05, 1112.23,  972.11, 1157.77,  102.62,  103.49,   404.9,   0, GPS1,   92.4, 111.35, 114.15,  0.086,       ,       ,      ,   20.8,   92.6,    2.1,       ,      ,       ,      ,      ,   0.0, 3DDiff, 1852,      ,     10,  20.5,     14,   343.0, 1
