#airframe_info, log_version="1.03", log_content_version="1.01", Product="TXi", airframe_name="Piper PA-46-350P", unit_software_part_number="006-B2014-26", unit_software_version="3.12", system_software_part_number="006-B2014-26", system_id="71D005C2500CD", tail_number="N41518", unit="GDU1", unit_cycle="696", mode=NORMAL, flightstream_header="71D005C2500CD_0696", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,    G,    G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      lbs,      lbs,      gph,      psi,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F, deg F/min,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt,      ft, bool,          #,            s, crc16
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll, LatAc, NormAc,   HDG,   TRK, bus1volts, bus2volts, alt1amps, alt2amps,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 CHT CLD, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E2 TIT1,  E1 IAT,  E1 CDT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PitchC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas, AltPress, OnGrnd,     LogIdx,      SysTime, LogCheck
          ,         ,        ,       ,             ,             ,   136.5, 30.06,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  25.1,  25.1,  -1.3,  -1.6,  17.31,  19.11,   103.88,   114.64,     0.60,    -0.06,  169.78,    0.24,  30.04,    0.0,        ,  185.23,  162.75,  210.07,  186.15,  212.76,  176.70,     ,  127.19,  103.73,  135.93,  112.70,  187.62,  148.96,  116.54,  159.03,  128.09,  103.49,        ,   0, GPS1,   90.1,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,     7.0, 1,          0,         10.7, 09A1
          ,         ,        ,       ,             ,             ,   136.5, 30.06,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  25.1,  25.1,  -1.3,  -1.6,  17.32,  19.11,   103.93,   114.68,     0.36,    -0.05,  169.79,    0.24,  30.05,    0.0,        ,  185.17,  162.71,  210.05,  186.08,  212.73,  176.66,     ,  127.17,  103.71,  135.90,  112.69,  187.59,  148.92,  116.46,  158.91,  128.56,  103.47,        ,   0, GPS1,   90.1,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,     7.0, 1,          1,         11.7, E1B5
          ,         ,        ,       ,             ,             ,   135.5, 30.06,        ,      ,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  25.1,  25.1,  -1.3,  -1.6,  17.31,  19.11,   103.89,   114.67,     0.23,    -0.09,  169.79,    0.24,  30.04,    0.0,        ,  185.11,  162.66,  210.01,  186.01,  212.70,  176.62,    0,  127.15,  103.70,  135.88,  112.67,  187.54,  148.89,  116.40,  158.80,  128.94,  103.44,        ,   0, GPS1,   90.1,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,     6.0, 1,          2,         12.7, E6B2
          ,         ,        ,       ,             ,             ,   135.5, 30.06,        ,  30.8,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  25.1,  25.1,  -1.3,  -1.6,  17.31,  19.11,   103.87,   114.68,     0.15,    -0.06,  169.80,    0.24,  30.05,    0.0,       0,  185.07,  162.63,  209.97,  185.94,  212.67,  176.59,    0,  127.15,  103.70,  135.86,  112.68,  187.49,  148.86,  116.35,  158.71,  129.31,  103.40,        ,   0, GPS1,   90.1,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,     6.0, 1,          3,         13.7, C50D
          ,         ,        ,       ,             ,             ,   135.5, 30.06,        ,  30.8,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  25.1,  25.1,  -1.3,  -1.6,  17.29,  19.11,   103.75,   114.66,     0.12,    -0.05,  169.80,    0.24,  30.05,    0.0,       0,  185.03,  162.59,  209.93,  185.89,  212.63,  176.53,    0,  127.14,  103.70,  135.84,  112.66,  187.44,  148.85,  116.32,  158.68,  129.70,  103.37,        ,   0, GPS1,   90.1,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,     6.0, 1,          4,         14.7, 9BDD
          ,         ,        ,       ,             ,             ,   135.5, 30.06,        ,  30.8,   0.00,       ,        ,       ,       ,     ,     ,      ,      ,  25.0,  24.8,  -1.3,  -1.6,  17.30,  19.11,   103.83,   114.63,     0.09,    -0.05,  169.80,    0.24,  30.04,    0.0,       0,  186.68,  168.20,  209.92,  186.60,  220.81,  179.23,   -4,  127.14,  103.88,  138.90,  121.20,  187.40,  149.14,  116.28,  159.11,  130.19,  103.31,        ,   0, GPS1,   90.1,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,     6.0, 1,          5,         15.7, 1A0F
          ,         ,        ,       ,             ,             ,   134.5, 30.06,        ,  30.8,   0.00,       ,  -24.28,       ,       ,     ,     ,      ,      ,  23.3,  23.3,  -1.3,  -1.6,  17.30,  19.10,   103.81,   114.60,     0.08,    -0.34,  169.80,    0.43,  29.43,  126.4,       0,  185.15,  162.71,  209.36,  185.27,  212.92,  176.64,   -4,  126.80,  104.82,  137.57,  113.27,  187.44,  149.00,  116.59,  159.52,  130.44,  103.82,        ,   0, GPS1,   90.1,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,     5.0, 1,          6,         16.7, 3B11
          ,         ,        ,       ,             ,             ,   134.5, 30.06,        ,  30.8,   0.00,       ,  -27.79,       ,       ,     ,     ,      ,      ,  23.4,  23.4,  -1.3,  -1.6,  17.31,  19.10,   103.84,   114.62,     0.06,    -0.28,  169.24,    0.59,  29.29,  154.0,       0,  185.12,  162.64,  209.78,  185.69,  212.69,  176.63,   -4,  129.75,  107.23,  139.92,  118.01,  187.51,  150.15,  117.69,  161.12,  129.70,  104.56,        ,   0, GPS1,   90.1,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,     5.0, 1,          7,         17.7, 4368
          ,         ,        ,       ,             ,             ,   133.5, 30.06,        ,  30.8,   0.00,       ,  -30.15,       ,       ,     ,     ,      ,      ,  23.4,  23.4,  -1.3,  -1.6,  17.31,  19.11,   103.85,   114.65,     0.10,    -0.28,  167.69,    1.39,  29.27,  155.7,       0,  185.08,  162.73,  209.93,  185.57,  212.77,  176.67,   -4,  132.44,  110.06,  142.07,  121.66,  187.25,  150.42,  119.33,  162.61,  128.76,  105.23,        ,   0, GPS1,   90.1,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,     4.0, 1,          8,         18.7, 32A3
          ,         ,        ,       ,             ,             ,   133.5, 30.06,        ,  30.8,   0.00,       ,  -30.34,       ,       ,     ,     ,      ,      ,  23.3,  23.3,  -1.3,  -1.6,  17.31,  19.10,   103.83,   114.62,     0.08,    -0.30,  166.31,    8.80,  29.32,  152.9,       0,  184.93,  162.72,  210.23,  185.88,  212.53,  176.67,   -4,  134.60,  112.19,  143.87,  122.91,  187.13,  150.72,  121.03,  163.81,  128.54,  105.83,        ,   0, GPS1,   90.1,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln,    0,     0,       ,      ,       ,     4.0, 1,          9,         19.7, 36B5
