power,tempVISA,pressAlt,time,fuel,distance
35,-20,0,0,0,0
35,-20,6000,6,7,12
35,-20,10000,10,9,22
35,-20,16000,16,12,39
35,-20,22000,25,16,60
35,-20,25000,29,18,71
35,0,0,0,0,0
35,0,6000,6,7,15
35,0,10000,11,9,27
35,0,16000,19,13,47
35,0,22000,28,18,72
35,0,25000,33,22,90
35,35,0,0,0,0
35,35,6000,9,8,21
35,35,10000,16,12,38
35,35,16000,27,17,68
35,35,22000,40,25,110
35,35,25000,48,32,141
42,-20,0,0,0,0
42,-20,6000,4,6,9
42,-20,10000,7,7,16
42,-20,16000,12,10,29
42,-20,22000,17.5,12,42
42,-20,25000,21,14.5,53
42,0,0,0,0,0
42,0,6000,5,7,11
42,0,10000,8,8,20
42,0,16000,14,11,27
42,0,22000,20.5,14.5,52
42,0,25000,25.5,17.5,68
42,35,0,0,0,0
42,35,6000,7,7,14
42,35,10000,11.5,9,26
42,35,16000,18,13.5,45
42,35,22000,27,18,73
42,35,25000,34,22,91
