tempVISA,pressAlt,weight,headwind,feet,metres
-20,0,3200,-10,2450,746.76
-20,0,3200,0,1850,563.88
-20,0,3200,30,1300,396.24
-20,0,4340,-10,2500,762
-20,0,4340,0,1850,563.88
-20,0,4340,30,1300,396.24
-20,8000,3200,-10,3450,1051.56
-20,8000,3200,0,2700,822.96
-20,8000,3200,30,2050,624.84
-20,8000,4340,-10,3450,1051.56
-20,8000,4340,0,2700,822.96
-20,8000,4340,30,2050,624.84
0,0,3200,-10,2750,838.2
0,0,3200,0,2100,640.08
0,0,3200,30,1500,457.2
0,0,4340,-10,2750,838.2
0,0,4340,0,2100,640.08
0,0,4340,30,1500,457.2
0,8000,3200,-10,3800,1158.24
0,8000,3200,0,3000,914.4
0,8000,3200,30,2300,701.04
0,8000,4340,-10,3800,1158.24
0,8000,4340,0,3000,914.4
0,8000,4340,30,2300,701.04
35,0,3200,-10,3350,1021.08
35,0,3200,0,2600,792.48
35,0,3200,30,1950,594.36
35,0,4340,-10,3350,1021.08
35,0,4340,0,2600,792.48
35,0,4340,30,1950,594.36
35,8000,3200,-10,4700,1432.56
35,8000,3200,0,3800,1158.24
35,8000,3200,30,3000,914.4
35,8000,4340,-10,4700,1432.56
35,8000,4340,0,3800,1158.24
35,8000,4340,30,3000,914.4
