tempVISA,pressAlt,weight,headwind,feet,metres
-20,0,3200,-10,1350,411.48
-20,0,3200,0,950,289.56
-20,0,3200,30,600,182.88
-20,0,4340,-10,1350,411.48
-20,0,4340,0,950,289.56
-20,0,4340,30,600,182.88
-20,8000,3200,-10,2000,609.6
-20,8000,3200,0,1450,441.96
-20,8000,3200,30,950,289.56
-20,8000,4340,-10,2000,609.6
-20,8000,4340,0,1450,441.96
-20,8000,4340,30,950,289.56
0,0,3200,-10,1550,472.44
0,0,3200,0,1100,335.28
0,0,3200,30,700,213.36
0,0,4340,-10,1550,472.44
0,0,4340,0,1100,335.28
0,0,4340,30,700,213.36
0,8000,3200,-10,2300,701.04
0,8000,3200,0,1850,563.88
0,8000,3200,30,1250,381
0,8000,4340,-10,2300,701.04
0,8000,4340,0,1850,563.88
0,8000,4340,30,1250,381
35,0,3200,-10,2000,609.6
35,0,3200,0,1400,426.72
35,0,3200,30,900,274.32
35,0,4340,-10,2000,609.6
35,0,4340,0,1400,426.72
35,0,4340,30,900,274.32
35,8000,3200,-10,2850,868.68
35,8000,3200,0,2100,640.08
35,8000,3200,30,1450,441.96
35,8000,4340,-10,2850,868.68
35,8000,4340,0,2100,640.08
35,8000,4340,30,1450,441.96
