tempVISA,pressAlt,weight,headwind,feet,metres
-20,0,3200,-10,2300,701.04
-20,0,3200,0,1700,518.16
-20,0,3200,30,1200,365.76
-20,0,4340,-10,3100,944.88
-20,0,4340,0,2400,731.52
-20,0,4340,30,1800,548.64
-20,8000,3200,-10,3100,944.88
-20,8000,3200,0,2400,731.52
-20,8000,3200,30,1800,548.64
-20,8000,4340,-10,4300,1310.64
-20,8000,4340,0,3450,1051.56
-20,8000,4340,30,2700,822.96
0,0,3200,-10,2600,792.48
0,0,3200,0,1950,594.36
0,0,3200,30,1400,426.72
0,0,4340,-10,3400,1036.32
0,0,4340,0,2650,807.72
0,0,4340,30,1950,594.36
0,8000,3200,-10,3500,1066.8
0,8000,3200,0,2750,838.2
0,8000,3200,30,2050,624.84
0,8000,4340,-10,4900,1493.52
0,8000,4340,0,3950,1203.96
0,8000,4340,30,3100,944.88
35,0,3200,-10,3200,975.36
35,0,3200,0,2500,762
35,0,3200,30,1850,563.88
35,0,4340,-10,4450,1356.36
35,0,4340,0,3550,1082.04
35,0,4340,30,2750,838.2
35,8000,3200,-10,4300,1310.64
35,8000,3200,0,3450,1051.56
35,8000,3200,30,2600,792.48
35,8000,4340,-10,6000,1828.8
35,8000,4340,0,4950,1508.76
35,8000,4340,30,4000,1219.2
