tempVISA,pressAlt,weight,headwind,feet,metres
-20,0,3200,-5,2000,609.6
-20,0,3200,0,1720,524.256
-20,0,3200,15,1475,449.58
-20,0,4123,-5,2150,655.32
-20,0,4123,0,1850,563.88
-20,0,4123,15,1600,487.68
-20,8000,3200,-5,2350,716.28
-20,8000,3200,0,2050,624.84
-20,8000,3200,15,1750,533.4
-20,8000,4123,-5,2550,777.24
-20,8000,4123,0,2250,685.8
-20,8000,4123,15,1950,594.36
0,0,3200,-5,2300,701.04
0,0,3200,0,1800,548.64
0,0,3200,15,1550,472.44
0,0,4123,-5,2250,685.8
0,0,4123,0,1960,597.408
0,0,4123,15,1675,510.54
0,8000,3200,-5,2550,777.24
0,8000,3200,0,2200,670.56
0,8000,3200,15,1875,571.5
0,8000,4123,-5,2750,838.2
0,8000,4123,0,2400,731.52
0,8000,4123,15,2050,624.84
35,0,3200,-5,2250,685.8
35,0,3200,0,1950,594.36
35,0,3200,15,1650,502.92
35,0,4123,-5,2475,754.38
35,0,4123,0,2150,655.32
35,0,4123,15,1825,556.26
35,8000,3200,-5,2800,853.44
35,8000,3200,0,2425,739.14
35,8000,3200,15,2075,632.46
35,8000,4123,-5,3050,929.64
35,8000,4123,0,2650,807.72
35,8000,4123,15,2275,693.42
